uid,pci,starttime,endtime,duration
444,434,13:34:1687174497,13:34:1687174497,0
445,362,13:34:1687174497,13:34:1687174497,0
446,432,13:34:1687174499,13:34:1687174499,0
447,434,13:34:1687174499,13:34:1687174499,0
448,362,13:34:1687174499,13:34:1687174499,0
449,432,13:35:1687174502,13:35:1687174502,0
450,434,13:35:1687174502,13:35:1687174502,0
451,362,13:35:1687174502,13:35:1687174502,0
452,432,13:35:1687174504,13:35:1687174504,0
453,434,13:35:1687174504,13:35:1687174504,0
454,362,13:35:1687174504,13:35:1687174504,0
455,434,13:35:1687174506,13:35:1687174506,0
456,432,13:35:1687174506,13:35:1687174506,0
457,434,13:35:1687174506,13:35:1687174506,0
458,362,13:35:1687174506,13:35:1687174506,0
459,432,13:35:1687174508,13:35:1687174508,0
460,434,13:35:1687174508,13:35:1687174508,0
461,362,13:35:1687174508,13:35:1687174508,0
462,432,13:35:1687174510,13:35:1687174510,0
463,362,13:35:1687174510,13:35:1687174510,0
464,432,13:35:1687174510,13:35:1687174510,0
465,434,13:35:1687174510,13:35:1687174510,0
466,362,13:35:1687174510,13:35:1687174510,0
467,432,13:35:1687174513,13:35:1687174513,0
468,434,13:35:1687174513,13:35:1687174513,0
469,362,13:35:1687174513,13:35:1687174515,2264
470,432,13:35:1687174515,13:35:1687174515,0
471,434,13:35:1687174515,13:35:1687174515,0
472,362,13:35:1687174515,13:35:1687174515,0
473,432,13:35:1687174517,13:35:1687174517,0
474,434,13:35:1687174517,13:35:1687174517,0
475,362,13:35:1687174517,13:35:1687174517,0
476,432,13:35:1687174519,13:35:1687174519,-1
477,434,13:35:1687174519,13:35:1687174519,0
478,362,13:35:1687174519,13:35:1687174519,0
479,432,13:35:1687174521,13:35:1687174521,0
480,202,13:35:1687174521,13:35:1687174521,0
481,432,13:35:1687174521,13:35:1687174521,0
482,434,13:35:1687174521,13:35:1687174521,0
483,362,13:35:1687174521,13:35:1687174521,0
484,202,13:35:1687174521,13:35:1687174521,0
485,362,13:35:1687174524,13:35:1687174524,0
486,432,13:35:1687174524,13:35:1687174524,0
487,434,13:35:1687174524,13:35:1687174524,0
488,362,13:35:1687174524,13:35:1687174524,0
489,432,13:35:1687174526,13:35:1687174526,0
490,434,13:35:1687174526,13:35:1687174526,0
491,362,13:35:1687174526,13:35:1687174526,0
492,432,13:35:1687174528,13:35:1687174528,0
493,434,13:35:1687174528,13:35:1687174528,0
494,362,13:35:1687174528,13:35:1687174528,0
495,432,13:35:1687174528,13:35:1687174528,0
496,434,13:35:1687174528,13:35:1687174528,0
497,362,13:35:1687174528,13:35:1687174528,0
498,432,13:35:1687174530,13:35:1687174530,0
499,434,13:35:1687174530,13:35:1687174530,0
500,362,13:35:1687174530,13:35:1687174530,0
501,432,13:35:1687174530,13:35:1687174530,0
502,434,13:35:1687174530,13:35:1687174530,0
503,362,13:35:1687174530,13:35:1687174532,2135
504,432,13:35:1687174532,13:35:1687174532,0
505,434,13:35:1687174532,13:35:1687174532,0
506,362,13:35:1687174532,13:35:1687174532,0
507,434,13:35:1687174535,13:35:1687174535,0
508,432,13:35:1687174535,13:35:1687174535,0
509,434,13:35:1687174535,13:35:1687174535,0
510,362,13:35:1687174535,13:35:1687174535,0
511,432,13:35:1687174537,13:35:1687174537,0
512,434,13:35:1687174537,13:35:1687174537,0
513,362,13:35:1687174537,13:35:1687174539,2034
514,432,13:35:1687174539,13:35:1687174539,0
515,434,13:35:1687174539,13:35:1687174539,0
516,362,13:35:1687174539,13:35:1687174539,0
517,434,13:35:1687174541,13:35:1687174541,0
518,432,13:35:1687174541,13:35:1687174541,0
519,434,13:35:1687174541,13:35:1687174541,0
520,362,13:35:1687174541,13:35:1687174544,2161
521,432,13:35:1687174544,13:35:1687174544,0
522,434,13:35:1687174544,13:35:1687174544,0
523,362,13:35:1687174544,13:35:1687174544,0
524,434,13:35:1687174546,13:35:1687174546,0
525,432,13:35:1687174546,13:35:1687174546,0
526,434,13:35:1687174546,13:35:1687174546,0
527,362,13:35:1687174546,13:35:1687174546,0
528,432,13:35:1687174548,13:35:1687174548,0
529,434,13:35:1687174548,13:35:1687174548,0
530,362,13:35:1687174548,13:35:1687174548,0
531,432,13:35:1687174550,13:35:1687174550,0
532,434,13:35:1687174550,13:35:1687174550,0
533,362,13:35:1687174550,13:35:1687174552,2162
534,432,13:35:1687174552,13:35:1687174552,0
535,434,13:35:1687174552,13:35:1687174552,0
536,362,13:35:1687174552,13:35:1687174552,0
537,432,13:35:1687174555,13:35:1687174555,0
538,434,13:35:1687174555,13:35:1687174555,0
539,432,13:35:1687174555,13:35:1687174555,0
540,434,13:35:1687174555,13:35:1687174555,0
541,362,13:35:1687174555,13:35:1687174555,0
542,432,13:35:1687174557,13:35:1687174557,0
543,434,13:35:1687174557,13:35:1687174557,0
544,432,13:35:1687174557,13:35:1687174557,0
545,434,13:35:1687174557,13:35:1687174557,0
546,362,13:35:1687174557,13:35:1687174557,0
547,432,13:35:1687174559,13:35:1687174559,0
548,434,13:35:1687174559,13:35:1687174559,0
549,361,13:35:1687174559,13:35:1687174559,0
550,432,13:36:1687174561,13:36:1687174563,2111
551,434,13:36:1687174563,13:36:1687174566,2272
552,432,13:36:1687174566,13:36:1687174566,0
553,434,13:36:1687174566,13:36:1687174566,0
554,432,13:36:1687174568,13:38:1687174699,131064
555,434,13:38:1687174699,13:38:1687174699,0
556,432,13:38:1687174701,13:38:1687174705,4252
557,434,13:38:1687174705,13:38:1687174705,0
558,432,13:38:1687174708,13:38:1687174710,2164
559,434,13:38:1687174710,13:38:1687174712,2206
560,432,13:38:1687174712,13:38:1687174712,0
561,434,13:38:1687174712,13:38:1687174712,0
562,432,13:38:1687174714,13:38:1687174716,2148
563,434,13:38:1687174716,13:38:1687174716,0
564,432,13:38:1687174718,13:38:1687174725,6517
565,434,13:38:1687174725,13:38:1687174725,0
566,432,13:38:1687174725,13:38:1687174725,0
567,434,13:38:1687174725,13:38:1687174725,0
568,432,13:38:1687174727,13:38:1687174727,0
569,434,13:38:1687174727,13:38:1687174727,0
570,432,13:38:1687174729,13:38:1687174736,6526
571,434,13:38:1687174736,13:38:1687174736,0
572,432,13:38:1687174738,13:38:1687174738,-1
573,434,13:39:1687174740,13:39:1687174740,0
574,432,13:39:1687174740,13:39:1687174740,0
575,434,13:39:1687174740,13:39:1687174740,0
576,432,13:39:1687174742,13:39:1687174747,4293
577,434,13:39:1687174747,13:39:1687174747,0
578,432,13:39:1687174749,13:39:1687174751,2185
579,481,13:39:1687174751,13:39:1687174751,0
580,432,13:39:1687174751,13:39:1687174751,0
581,475,13:39:1687174751,13:39:1687174751,0
582,481,13:39:1687174751,13:39:1687174751,0
583,432,13:39:1687174753,13:39:1687174753,0
584,481,13:39:1687174753,13:39:1687174756,2184
585,432,13:39:1687174756,13:39:1687174756,0
586,481,13:39:1687174756,13:39:1687174756,0
587,432,13:39:1687174758,13:39:1687174758,0
588,481,13:39:1687174758,13:39:1687174758,0
589,432,13:39:1687174758,13:39:1687174758,0
590,481,13:39:1687174758,13:39:1687174758,0
591,434,13:39:1687174760,13:39:1687174760,0
592,432,13:39:1687174760,13:39:1687174760,0
593,434,13:39:1687174760,13:39:1687174760,0
594,432,13:39:1687174762,13:39:1687174786,23630
595,237,13:39:1687174788,13:39:1687174788,0
596,432,13:39:1687174788,13:39:1687174788,0
597,237,13:39:1687174788,13:39:1687174788,0
598,434,13:39:1687174788,13:39:1687174788,0
599,432,13:39:1687174790,13:40:1687174842,51697
600,476,13:40:1687174842,13:40:1687174842,0
601,432,13:40:1687174844,13:40:1687174855,10688
602,434,13:40:1687174855,13:40:1687174855,0
603,432,13:40:1687174857,13:41:1687174861,4332
604,20,13:41:1687174861,13:41:1687174861,0
605,432,13:41:1687174861,13:41:1687174861,0
606,20,13:41:1687174861,13:41:1687174861,0
607,432,13:41:1687174863,13:41:1687174868,4335
608,20,13:41:1687174868,13:41:1687174868,0
609,432,13:41:1687174870,13:41:1687174870,0
610,20,13:41:1687174870,13:41:1687174870,0
611,432,13:41:1687174872,13:41:1687174872,0
612,20,13:41:1687174872,13:41:1687174874,2125
613,432,13:41:1687174874,13:41:1687174874,0
614,20,13:41:1687174874,13:41:1687174877,2282
615,362,13:41:1687174877,13:41:1687174877,0
616,20,13:41:1687174877,13:41:1687174877,0
617,362,13:41:1687174879,13:41:1687174879,0
618,20,13:41:1687174879,13:41:1687174879,0
619,362,13:41:1687174881,13:41:1687174881,0
620,20,13:41:1687174881,13:41:1687174883,2154
621,476,13:41:1687174883,13:41:1687174883,0
622,362,13:41:1687174883,13:41:1687174883,0
623,20,13:41:1687174883,13:41:1687174883,0
624,476,13:41:1687174883,13:41:1687174883,0
625,362,13:41:1687174885,13:41:1687174885,1
626,20,13:41:1687174885,13:41:1687174885,0
627,476,13:41:1687174885,13:41:1687174885,0
628,362,13:41:1687174888,13:41:1687174888,0
629,476,13:41:1687174888,13:41:1687174888,0
630,362,13:41:1687174888,13:41:1687174888,0
631,20,13:41:1687174888,13:41:1687174888,0
632,476,13:41:1687174888,13:41:1687174888,0
633,20,13:41:1687174890,13:41:1687174890,0
634,193,13:41:1687174890,13:41:1687174890,0
635,362,13:41:1687174890,13:41:1687174890,0
636,20,13:41:1687174890,13:41:1687174890,0
637,193,13:41:1687174890,13:41:1687174890,0
638,476,13:41:1687174890,13:41:1687174892,2222
639,362,13:41:1687174892,13:41:1687174892,0
640,20,13:41:1687174892,13:41:1687174892,0
641,476,13:41:1687174892,13:41:1687174892,0
642,20,13:41:1687174894,13:41:1687174894,0
643,193,13:41:1687174894,13:41:1687174894,0
644,362,13:41:1687174894,13:41:1687174894,0
645,20,13:41:1687174894,13:41:1687174894,0
646,193,13:41:1687174894,13:41:1687174896,2156
647,362,13:41:1687174896,13:41:1687174896,0
648,20,13:41:1687174896,13:41:1687174896,0
649,193,13:41:1687174896,13:41:1687174896,0
650,20,13:41:1687174899,13:41:1687174899,0
651,193,13:41:1687174899,13:41:1687174899,0
652,476,13:41:1687174899,13:41:1687174899,0
653,362,13:41:1687174899,13:41:1687174899,0
654,20,13:41:1687174899,13:41:1687174899,0
655,193,13:41:1687174899,13:41:1687174899,0
656,476,13:41:1687174899,13:41:1687174899,0
657,362,13:41:1687174901,13:41:1687174901,0
658,476,13:41:1687174901,13:41:1687174901,0
659,362,13:41:1687174901,13:41:1687174901,0
660,20,13:41:1687174901,13:41:1687174901,0
661,476,13:41:1687174901,13:41:1687174901,0
662,193,13:41:1687174901,13:41:1687174901,0
663,362,13:41:1687174903,13:41:1687174903,0
664,476,13:41:1687174903,13:41:1687174903,0
665,362,13:41:1687174903,13:41:1687174903,0
666,20,13:41:1687174903,13:41:1687174903,0
667,193,13:41:1687174903,13:41:1687174903,0
668,476,13:41:1687174903,13:41:1687174903,0
669,362,13:41:1687174905,13:41:1687174905,0
670,20,13:41:1687174905,13:41:1687174905,0
671,193,13:41:1687174905,13:41:1687174905,0
672,476,13:41:1687174905,13:41:1687174905,0
673,432,13:41:1687174908,13:41:1687174908,0
674,476,13:41:1687174908,13:41:1687174908,0
675,20,13:41:1687174908,13:41:1687174908,0
676,362,13:41:1687174908,13:41:1687174908,0
677,432,13:41:1687174908,13:41:1687174908,0
678,476,13:41:1687174908,13:41:1687174908,0
679,20,13:41:1687174910,13:41:1687174910,0
680,362,13:41:1687174910,13:41:1687174910,0
681,432,13:41:1687174910,13:41:1687174910,0
682,476,13:41:1687174910,13:41:1687174910,0
683,128,13:41:1687174910,13:41:1687174910,0
684,312,13:41:1687174910,13:41:1687174910,0
685,20,13:41:1687174912,13:41:1687174912,0
686,476,13:41:1687174912,13:41:1687174912,0
687,20,13:41:1687174912,13:41:1687174912,0
688,362,13:41:1687174912,13:41:1687174912,0
689,476,13:41:1687174912,13:41:1687174912,0
690,432,13:41:1687174912,13:41:1687174912,0
691,20,13:41:1687174914,13:41:1687174914,0
692,476,13:41:1687174914,13:41:1687174914,0
693,20,13:41:1687174914,13:41:1687174914,0
694,476,13:41:1687174914,13:41:1687174914,0
695,432,13:41:1687174914,13:41:1687174914,0
696,130,13:41:1687174914,13:41:1687174914,0
697,20,13:41:1687174917,13:41:1687174917,0
698,362,13:41:1687174917,13:41:1687174917,0
699,476,13:41:1687174917,13:41:1687174917,0
700,432,13:41:1687174917,13:41:1687174917,0
701,130,13:41:1687174917,13:41:1687174917,0
702,476,13:41:1687174919,13:41:1687174919,0
703,130,13:41:1687174919,13:41:1687174919,0
704,20,13:41:1687174919,13:41:1687174919,0
705,362,13:41:1687174919,13:41:1687174919,0
706,476,13:41:1687174919,13:41:1687174919,0
707,432,13:41:1687174919,13:41:1687174919,0
708,130,13:41:1687174919,13:41:1687174919,0
709,20,13:42:1687174921,13:42:1687174921,0
710,362,13:42:1687174921,13:42:1687174921,0
711,476,13:42:1687174921,13:42:1687174921,0
712,432,13:42:1687174921,13:42:1687174921,0
713,130,13:42:1687174921,13:42:1687174921,0
714,476,13:42:1687174923,13:42:1687174923,0
715,432,13:42:1687174923,13:42:1687174923,0
716,20,13:42:1687174923,13:42:1687174923,0
717,476,13:42:1687174923,13:42:1687174923,0
718,432,13:42:1687174923,13:42:1687174923,0
719,20,13:42:1687174926,13:42:1687174926,0
720,362,13:42:1687174926,13:42:1687174926,0
721,476,13:42:1687174926,13:42:1687174926,0
722,432,13:42:1687174926,13:42:1687174926,0
723,20,13:42:1687174928,13:42:1687174928,0
724,362,13:42:1687174928,13:42:1687174928,0
725,476,13:42:1687174928,13:42:1687174928,0
726,20,13:42:1687174928,13:42:1687174928,0
727,362,13:42:1687174928,13:42:1687174928,0
728,476,13:42:1687174928,13:42:1687174928,0
729,20,13:42:1687174930,13:42:1687174930,0
730,432,13:42:1687174930,13:42:1687174930,0
731,20,13:42:1687174930,13:42:1687174930,0
732,476,13:42:1687174930,13:42:1687174930,0
733,432,13:42:1687174930,13:42:1687174932,2195
734,20,13:42:1687174932,13:42:1687174932,0
735,362,13:42:1687174932,13:42:1687174932,0
736,476,13:42:1687174932,13:42:1687174932,0
737,432,13:42:1687174932,13:42:1687174932,0
738,20,13:42:1687174935,13:42:1687174935,1
739,362,13:42:1687174935,13:42:1687174935,0
740,476,13:42:1687174935,13:42:1687174935,0
741,157,13:42:1687174935,13:42:1687174935,0
742,20,13:42:1687174937,13:42:1687174937,0
743,476,13:42:1687174937,13:42:1687174937,0
744,20,13:42:1687174937,13:42:1687174937,0
745,476,13:42:1687174937,13:42:1687174937,0
746,20,13:42:1687174939,13:42:1687174939,0
747,301,13:42:1687174939,13:42:1687174939,0
748,20,13:42:1687174941,13:42:1687174943,2083
749,362,13:42:1687174946,13:42:1687174946,0
750,20,13:42:1687174946,13:42:1687174946,0
751,362,13:42:1687174946,13:42:1687174946,0
752,20,13:42:1687174948,13:43:1687174992,44157
753,476,13:43:1687174992,13:43:1687174992,0
754,20,13:43:1687174994,13:43:1687174994,0
755,476,13:43:1687174994,13:43:1687174994,0
756,432,13:43:1687174994,13:43:1687174994,0
757,20,13:43:1687174994,13:43:1687174994,0
758,476,13:43:1687174994,13:43:1687174994,0
759,432,13:43:1687174994,13:43:1687174994,0
760,20,13:43:1687174996,13:43:1687174996,0
761,362,13:43:1687174996,13:43:1687174996,0
762,20,13:43:1687174996,13:43:1687174996,0
763,362,13:43:1687174996,13:43:1687174996,0
764,432,13:43:1687174996,13:43:1687174996,0
765,476,13:43:1687174996,13:43:1687174996,0
766,20,13:43:1687174998,13:43:1687174998,0
767,362,13:43:1687174998,13:43:1687174998,0
768,432,13:43:1687174998,13:43:1687174998,0
769,476,13:43:1687174998,13:43:1687174998,0
770,20,13:43:1687175001,13:43:1687175001,0
771,432,13:43:1687175001,13:43:1687175001,0
772,20,13:43:1687175001,13:43:1687175001,0
773,476,13:43:1687175001,13:43:1687175001,0
774,432,13:43:1687175001,13:43:1687175001,0
775,20,13:43:1687175003,13:43:1687175003,0
776,476,13:43:1687175003,13:43:1687175003,0
777,20,13:43:1687175003,13:43:1687175003,0
778,476,13:43:1687175003,13:43:1687175003,0
779,432,13:43:1687175003,13:43:1687175003,0
780,20,13:43:1687175005,13:43:1687175005,0
781,476,13:43:1687175005,13:43:1687175005,0
782,20,13:43:1687175007,13:43:1687175007,1
783,432,13:43:1687175007,13:43:1687175007,0
784,20,13:43:1687175009,13:43:1687175009,0
785,476,13:43:1687175009,13:43:1687175009,0
786,432,13:43:1687175009,13:43:1687175009,0
787,20,13:43:1687175009,13:43:1687175009,0
788,476,13:43:1687175009,13:43:1687175009,0
789,432,13:43:1687175009,13:43:1687175009,0
790,20,13:43:1687175012,13:43:1687175012,0
791,476,13:43:1687175012,13:43:1687175012,0
792,20,13:43:1687175014,13:43:1687175014,0
793,476,13:43:1687175014,13:43:1687175014,0
794,20,13:43:1687175014,13:43:1687175014,0
795,476,13:43:1687175014,13:43:1687175014,0
796,432,13:43:1687175014,13:43:1687175014,0
797,476,13:43:1687175016,13:43:1687175016,0
798,20,13:43:1687175016,13:43:1687175016,0
799,476,13:43:1687175016,13:43:1687175016,0
800,432,13:43:1687175016,13:43:1687175016,0
801,301,13:43:1687175016,13:43:1687175016,0
802,20,13:43:1687175018,13:43:1687175018,0
803,476,13:43:1687175018,13:43:1687175018,0
804,20,13:43:1687175021,13:43:1687175021,0
805,476,13:43:1687175021,13:43:1687175021,0
806,20,13:43:1687175023,13:43:1687175033,10350
807,476,13:43:1687175033,13:43:1687175033,0
808,20,13:43:1687175035,13:43:1687175037,2150
809,476,13:43:1687175037,13:43:1687175039,2107
810,20,13:43:1687175039,13:43:1687175039,0
811,476,13:43:1687175039,13:44:1687175041,2029
812,20,13:44:1687175041,13:44:1687175041,0
813,476,13:44:1687175041,13:44:1687175041,0
814,20,13:44:1687175044,13:44:1687175044,-1
815,476,13:44:1687175044,13:44:1687175044,0
816,20,13:44:1687175046,13:44:1687175046,0
817,476,13:44:1687175046,13:44:1687175048,2181
818,20,13:44:1687175048,13:44:1687175048,0
819,476,13:44:1687175048,13:44:1687175048,0
820,20,13:44:1687175050,13:44:1687175050,1
821,476,13:44:1687175050,13:44:1687175050,0
822,20,13:44:1687175052,13:44:1687175052,0
823,476,13:44:1687175052,13:44:1687175052,0
824,20,13:44:1687175054,13:44:1687175079,24846
825,130,13:44:1687175079,13:44:1687175079,0
826,20,13:44:1687175079,13:44:1687175079,0
827,130,13:44:1687175079,13:44:1687175079,0
828,20,13:44:1687175081,13:44:1687175081,0
829,130,13:44:1687175081,13:44:1687175081,0
830,20,13:44:1687175081,13:44:1687175081,0
831,476,13:44:1687175081,13:44:1687175081,0
832,130,13:44:1687175081,13:44:1687175081,0
833,20,13:44:1687175083,13:44:1687175083,1
834,476,13:44:1687175083,13:44:1687175083,0
835,130,13:44:1687175083,13:44:1687175083,0
836,20,13:44:1687175085,13:44:1687175085,0
837,476,13:44:1687175085,13:44:1687175085,0
838,20,13:44:1687175085,13:44:1687175085,0
839,476,13:44:1687175085,13:44:1687175085,0
840,130,13:44:1687175085,13:44:1687175085,0
841,476,13:44:1687175088,13:44:1687175088,0
842,20,13:44:1687175088,13:44:1687175088,0
843,476,13:44:1687175088,13:44:1687175088,0
844,130,13:44:1687175088,13:44:1687175088,0
845,476,13:44:1687175090,13:44:1687175090,0
846,130,13:44:1687175090,13:44:1687175090,0
847,20,13:44:1687175090,13:44:1687175090,0
848,476,13:44:1687175090,13:44:1687175090,0
849,130,13:44:1687175090,13:44:1687175090,0
850,20,13:44:1687175092,13:44:1687175092,0
851,476,13:44:1687175092,13:44:1687175092,0
852,20,13:44:1687175092,13:44:1687175092,0
853,476,13:44:1687175092,13:44:1687175092,0
854,130,13:44:1687175092,13:44:1687175092,0
855,20,13:44:1687175094,13:44:1687175094,0
856,476,13:44:1687175094,13:44:1687175094,0
857,20,13:44:1687175096,13:44:1687175096,0
858,476,13:44:1687175096,13:44:1687175096,0
859,20,13:44:1687175098,13:44:1687175098,0
860,476,13:44:1687175098,13:44:1687175098,0
861,20,13:45:1687175100,13:45:1687175100,0
862,476,13:45:1687175100,13:45:1687175100,0
863,20,13:45:1687175100,13:45:1687175100,0
864,476,13:45:1687175100,13:45:1687175100,0
865,20,13:45:1687175102,13:45:1687175102,0
866,476,13:45:1687175102,13:45:1687175102,0
867,20,13:45:1687175104,13:45:1687175104,0
868,476,13:45:1687175104,13:45:1687175104,0
869,20,13:45:1687175107,13:45:1687175107,0
870,476,13:45:1687175107,13:45:1687175107,0
871,20,13:45:1687175109,13:45:1687175109,0
872,476,13:45:1687175109,13:45:1687175109,0
873,432,13:45:1687175111,13:45:1687175111,0
874,20,13:45:1687175111,13:45:1687175111,0
875,476,13:45:1687175111,13:45:1687175111,0
876,432,13:45:1687175111,13:45:1687175113,2152
877,20,13:45:1687175113,13:45:1687175113,0
878,476,13:45:1687175113,13:45:1687175113,0
879,432,13:45:1687175113,13:45:1687175113,0
880,20,13:45:1687175115,13:45:1687175115,-1
881,476,13:45:1687175115,13:45:1687175115,0
882,20,13:45:1687175117,13:45:1687175117,0
883,476,13:45:1687175117,13:45:1687175117,0
884,20,13:45:1687175117,13:45:1687175117,0
885,476,13:45:1687175117,13:45:1687175117,0
886,20,13:45:1687175119,13:45:1687175119,0
887,476,13:45:1687175119,13:45:1687175119,0
888,20,13:45:1687175121,13:45:1687175121,0
